loop_size,tick,time
4360750,31742384,10.262181
2577531,18064380,5.840139
4132396,28941364,9.356623
4193760,29374856,9.496769
4646589,32537992,10.519398
1790205,12538560,4.053665
2340891,16395428,5.300574
4072918,28523952,9.221676
2111098,14782748,4.779201
3215879,22521372,7.281066
2909588,20375952,6.587461
3515483,24618940,7.959201
2459137,17217696,5.566410
3053603,21384800,6.913617
4808918,33670204,10.885438
4664780,32667912,10.561401
3542846,24810700,8.021197
3869187,27095244,8.759780
1566410,10969304,3.546331
3427875,24589928,7.949822
1065202,7460200,2.411852
1971547,13804956,4.463085
1548926,10847368,3.506909
4216707,30350644,9.812238
1626716,11592608,3.747842
2603777,18234356,5.895092
1519161,10637864,3.439177
1435235,10046660,3.248044
4995698,35713508,11.546029
1873027,13116936,4.240651
3051729,21372656,6.909691
4356448,30505536,9.862313
3450559,24163164,7.811851
2184126,15298232,4.945855
3550209,24860648,8.037345
3097148,21685244,7.010750
2974331,20836484,6.736349
4891100,34252364,11.073647
2170067,15195840,4.912752
4085430,28605596,9.248071
3106979,21839096,7.060489
4079655,28572100,9.237242
2600914,18211964,5.887853
4566117,31977728,10.338267
2133258,14938228,4.829467
2409833,16886012,5.459178
4230898,29628216,9.578680
4676105,33567640,10.852279
1279021,8957352,2.895875
4797308,33643496,10.876803
3103981,21733616,7.026388
1344223,9415300,3.043928
1768855,12385932,4.004321
3652907,25604604,8.277862
4560930,31939788,10.326001
2395571,16773060,5.422661
1256685,8823300,2.852536
1080092,7565964,2.446045
2830806,19820856,6.408001
1252383,8802956,2.845959
1953119,13733284,4.439914
4882536,34192480,11.054287
4608832,33008568,10.671533
4403679,30840656,9.970656
2066662,14472020,4.678744
3159041,22122484,7.152107
2500827,17509604,5.660782
4040994,29144904,9.422427
3050141,21356224,6.904379
3670895,25707256,8.311049
3126425,21894308,7.078339
1157121,8103608,2.619863
2750550,19305892,6.241515
4727340,33926040,10.968148
4723239,33075784,10.693264
3883809,27195724,8.792265
2137173,14964104,4.837833
3954137,28517160,9.219480
3559915,25059712,8.101701
2416194,16918700,5.469746
3751445,26272628,8.493832
1663896,11658560,3.769164
2760418,19671956,6.359862
4520300,31651880,10.232922
4316804,30233520,9.774372
2321348,16608628,5.369501
1915872,13415060,4.337033
4573489,32025772,10.353799
2401440,16815456,5.436367
3746679,26237268,8.482400
4825873,33792428,10.924952
3354560,23492520,7.595034
3629216,25412148,8.215642
4434705,31052264,10.039068
2758239,19315800,6.244718
4695879,32878620,10.629522
2593746,18165644,5.872877
4259067,29821280,9.641096
3736874,27819892,8.994056
4643888,32516444,10.512432
2929962,20519428,6.633846
1863299,13048820,4.218629
4801009,33620016,10.869212
4680513,32773080,10.595401
1590640,11140176,3.601573
4524248,32510320,10.510452
3564322,24958200,8.068883
2727813,19099964,6.174939
3478385,24357744,7.874758
2124237,14965452,4.838269
4144008,29021456,9.382517
2229831,15622304,5.050626
2788134,19760448,6.388471
1904426,13716556,4.434506
1750132,12255632,3.962195
2104938,14740948,4.765687
3225775,22591872,7.303859
2666005,18667268,6.035050
1678428,11807880,3.817439
4627215,33229452,10.742944
1412684,9900608,3.200826
1504301,10533956,3.405584
2981776,21750368,7.031804
4041900,28306480,9.151368
4939006,34587348,11.181946
